"sclAutoID","sclName","sclCode","sclCluster","sclCommune","sclDistrict","sclProvince","sclZone","sclOrder","sclStatus","sclImage","sclZoneName","sclProvinceName","sclDistrictName","updated_at","total_students","total_teachers","total_teachers_female","total_students_female","created_at","deleted_at","updatedat","latitude","longitude","province_code"
"6936","សាលាបឋមសិក្សាស្វាយទន្ទឹម","20041506046",,,"110","23","3","6936","1",,,,,,,,,,,,,"10.44182568687654","104.3249786266789","23"
"6944","សាលាបឋមសិក្សាជ្រុងពពេល","20041215039",,,"110","23","3","6944","1",,,,,,,,,,,,,"10.52584966335786","104.3636497804931","23"
"6946","សាលាបឋមសិក្សាម្រាម","20041203036",,,"110","23","3","6946","1",,,,,,,,,,,,,"10.44396431716685","104.2213139815955","23"
"6953","សាលាបឋមសិក្សាហ៊ុនសែនសំបូរ","20041313040",,,"110","23","3","6953","1",,,,,,,,,,,,,"10.54486700397485","104.2346155338597","23"
"6945","សាលាបឋមសិក្សាពោធិ៍ធំ","20041204037",,,"110","23","3","6945","1",,,,,,,,,,,,,"10.51792572176212","104.2995534842102","23"
"6947","សាលាបឋមសិក្សាវត្តព្រៃព្រែក","20041208038",,,"110","23","3","6947","1",,,,,,,,,,,,,"10.51255021514262","104.3734081122346","23"
"6956","សាលាបឋមសិក្សាកំរ៉ែង","20040302007",,,"110","23","3","6956","1",,,,,,,,,,,,,"10.57345223001708","104.2332998689097","23"
"6949","សាលាបឋមសិក្សាព្រៃស្រះ","20041401042",,,"110","23","3","6949","1",,,,,,,,,,,,,"10.54832389397631","104.3121571142459","23"
"6939","សាលាបឋមសិក្សាម្រាក់ទាប","20041604048",,,"110","23","3","6939","1",,,,,,,,,,,,,"10.41976376133585","104.3479643294116","23"
"6988","សាលាបឋមសិក្សាទួលប្រស្រី","20030702014",,,"109","23","3","6988","1",,,,,,,,,,,,,"10.46945226564504","104.2585495247557","23"
"6957","សាលាបឋមសិក្សាច្រករំដួល","20040306010",,,"110","23","3","6957","1",,,,,,,,,,,,,"10.53151560006736","104.386963060572","23"
